vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-jsc,auction_1-1,574100,574100,454600,1371900,8324,871
blaze-jsc,auction_1-2,1818000,1818000,1424400,2859200,39087,276
blaze-jsc,auction_1-3,1856100,1856100,1441100,3122300,43803,270
blaze-jsc,auction_1-4,694800,694800,584100,1175300,9588,720
blaze-jsc,auction_2-1,609500,609500,470700,1387400,9447,821
blaze-jsc,auction_2-2,1970400,1970400,1463600,2820300,47289,254
blaze-jsc,auction_2-3,2463900,2463900,1907800,3595600,53466,203
blaze-jsc,auction_2-4,1761200,1761200,1415800,2728400,37161,285
blaze-jsc,auction_2-5,677400,677400,567100,1208400,9551,739
blaze-jsc,crowdfunding-success-1,612500,612500,509300,1227400,9371,817
blaze-jsc,crowdfunding-success-2,615500,615500,506000,1313400,9540,813
blaze-jsc,crowdfunding-success-3,620000,620000,504000,1292800,9672,807
blaze-jsc,currency-1,674200,674200,545600,1250700,10854,742
blaze-jsc,escrow-redeem_1-1,980600,980600,798900,1580400,17160,510
blaze-jsc,escrow-redeem_1-2,945600,945600,772400,1493600,16264,529
blaze-jsc,escrow-redeem_2-1,1089700,1089700,879300,1774100,18851,459
blaze-jsc,escrow-redeem_2-2,1099500,1099500,879200,1753200,19241,455
blaze-jsc,escrow-redeem_2-3,1072300,1072300,875600,1578100,17585,467
blaze-jsc,escrow-refund-1,501499,501499,412800,1053300,8525,997
blaze-jsc,future-increase-margin-1,656900,656900,548200,1567400,10247,762
blaze-jsc,future-increase-margin-2,1382800,1382800,1141600,2233200,24337,362
blaze-jsc,future-increase-margin-3,1378200,1378200,1134100,2095400,23842,363
blaze-jsc,future-increase-margin-4,1422300,1422300,1177100,2379800,22899,352
blaze-jsc,future-increase-margin-5,3536700,3536700,2877900,4601900,77807,142
blaze-jsc,future-pay-out-1,706700,706700,547900,3383800,16254,708
blaze-jsc,future-pay-out-2,1431500,1431500,1140900,2341000,29202,350
blaze-jsc,future-pay-out-3,1437600,1437600,1161500,2139000,28752,348
blaze-jsc,future-pay-out-4,3505000,3505000,2845900,4574900,79563,143
blaze-jsc,future-settle-early-1,688400,688400,552900,1518800,13423,727
blaze-jsc,future-settle-early-2,1435300,1435300,1152000,2406400,29136,349
blaze-jsc,future-settle-early-3,1463900,1463900,1156400,2490100,31766,342
blaze-jsc,future-settle-early-4,2970900,2970900,2498500,3944400,65656,169
blaze-jsc,game-sm-success_1-1,1235900,1235900,959500,2454400,31639,405
blaze-jsc,game-sm-success_1-2,585200,585200,488700,1309000,8602,856
blaze-jsc,game-sm-success_1-3,1817400,1817400,1433600,2657500,42345,276
blaze-jsc,game-sm-success_1-4,668200,668200,564900,1387300,10958,749
blaze-jsc,game-sm-success_2-1,1196800,1196800,950500,2021399,28723,419
blaze-jsc,game-sm-success_2-2,579500,579500,487800,1527500,8866,863
blaze-jsc,game-sm-success_2-3,1794900,1794900,1418300,2516400,40744,279
blaze-jsc,game-sm-success_2-4,721600,721600,561300,1663900,13999,694
blaze-jsc,game-sm-success_2-5,1832000,1832000,1412000,2700400,43601,273
blaze-jsc,game-sm-success_2-6,685000,685000,567300,1325200,11302,730
blaze-jsc,multisig-sm-1,1283900,1283900,984800,2274100,34023,390
blaze-jsc,multisig-sm-10,1640400,1640400,1293700,2569800,37073,305
blaze-jsc,multisig-sm-2,1236100,1236100,979000,2435800,30037,405
blaze-jsc,multisig-sm-3,1241400,1241400,990800,2219600,31035,403
blaze-jsc,multisig-sm-4,1261300,1261300,993200,2334500,32541,397
blaze-jsc,multisig-sm-5,1627300,1627300,1295900,2472200,36776,308
blaze-jsc,multisig-sm-6,1259600,1259600,1000599,2181300,32623,398
blaze-jsc,multisig-sm-7,1249600,1249600,969700,3508400,33364,401
blaze-jsc,multisig-sm-8,1248200,1248200,988100,2198100,31953,401
blaze-jsc,multisig-sm-9,1259600,1259600,995800,2493500,33757,397
blaze-jsc,ping-pong-1,998700,998700,791300,1756800,23269,501
blaze-jsc,ping-pong-2,1002400,1002400,795600,1979000,23456,500
blaze-jsc,ping-pong_2-1,696900,696900,550700,1743100,16655,718
blaze-jsc,prism-1,489600,489600,412900,1198500,7833,1022
blaze-jsc,prism-2,1251200,1251200,998800,2580300,28652,400
blaze-jsc,prism-3,1007300,1007300,823200,1824900,18937,497
blaze-jsc,pubkey-1,420700,420700,357200,1173500,6520,1189
blaze-jsc,stablecoin_1-1,5199400,5199400,4502500,5930800,94629,97
blaze-jsc,stablecoin_1-2,570000,570000,480000,1144500,9120,878
blaze-jsc,stablecoin_1-3,5612500,5612500,4893800,6493800,102708,90
blaze-jsc,stablecoin_1-4,601200,601200,507499,1308600,9919,832
blaze-jsc,stablecoin_1-5,6540400,6540400,5602900,7081900,80446,77
blaze-jsc,stablecoin_1-6,731300,731300,613400,1704400,12505,684
blaze-jsc,stablecoin_2-1,5130100,5130100,4469400,6035000,89776,98
blaze-jsc,stablecoin_2-2,578100,578100,481900,1559500,10174,865
blaze-jsc,stablecoin_2-3,5589500,5589500,4831000,6474500,104523,90
blaze-jsc,stablecoin_2-4,612100,612100,507600,1493900,10711,817
blaze-jsc,token-account-1,557000,557000,449300,1568200,10805,898
blaze-jsc,token-account-2,877700,877700,714800,2932700,16500,571
blaze-jsc,uniswap-1,1044400,1044400,854100,1491200,18277,480
blaze-jsc,uniswap-2,659900,659900,533400,1203300,11746,758
blaze-jsc,uniswap-3,4965700,4965700,4545300,6062300,54126,101
blaze-jsc,uniswap-4,966100,966100,816200,1709000,15360,518
blaze-jsc,uniswap-5,3430200,3430200,2696300,4208100,63115,146
blaze-jsc,uniswap-6,909500,909500,770100,1717500,14461,551
blaze-jsc,vesting-1,973000,973000,755600,3844200,25395,514
