vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-v8,auction_1-1,537400,537400,448400,1337900,7631,931
blaze-v8,auction_1-2,1743000,1743000,1400700,2725400,37300,287
blaze-v8,auction_1-3,1722200,1722200,1397200,2344400,35993,291
blaze-v8,auction_1-4,670800,670800,568000,1376000,9324,746
blaze-v8,auction_2-1,529300,529300,443800,1221900,7039,945
blaze-v8,auction_2-2,1726200,1726200,1378600,2648200,35387,290
blaze-v8,auction_2-3,2209700,2209700,1754200,3015100,43752,227
blaze-v8,auction_2-4,1746600,1746600,1382800,2588400,37202,287
blaze-v8,auction_2-5,673300,673300,564900,1221300,9358,743
blaze-v8,crowdfunding-success-1,613000,613000,509900,1262700,9072,816
blaze-v8,crowdfunding-success-2,612800,612800,510000,1266600,9253,816
blaze-v8,crowdfunding-success-3,606800,606800,507800,1286700,9284,824
blaze-v8,currency-1,656600,656600,543500,1228100,10111,762
blaze-v8,escrow-redeem_1-1,940300,940300,765800,1875200,16361,532
blaze-v8,escrow-redeem_1-2,936400,936400,768300,1512200,15918,535
blaze-v8,escrow-redeem_2-1,1071100,1071100,876500,1958400,18208,467
blaze-v8,escrow-redeem_2-2,1064400,1064400,880400,1665000,17881,470
blaze-v8,escrow-redeem_2-3,1067000,1067000,876200,1907300,18032,469
blaze-v8,escrow-refund-1,500399,500399,412400,1334700,8807,1000
blaze-v8,future-increase-margin-1,646400,646400,540000,1136600,9760,774
blaze-v8,future-increase-margin-2,1366900,1366900,1137900,2174000,23510,366
blaze-v8,future-increase-margin-3,1364300,1364300,1137400,2295300,23738,367
blaze-v8,future-increase-margin-4,1325300,1325300,1155400,1810700,17759,378
blaze-v8,future-increase-margin-5,3433900,3433900,2849500,4428300,73828,146
blaze-v8,future-pay-out-1,671600,671600,543300,1702600,13230,745
blaze-v8,future-pay-out-2,1387700,1387700,1135400,2156900,27892,361
blaze-v8,future-pay-out-3,1415900,1415900,1133000,2193000,28742,354
blaze-v8,future-pay-out-4,3392400,3392400,2817800,4413000,69204,148
blaze-v8,future-settle-early-1,687800,687800,541500,1326500,12930,727
blaze-v8,future-settle-early-2,1418500,1418500,1133800,2094599,28228,353
blaze-v8,future-settle-early-3,1467800,1467800,1130800,2522000,31117,341
blaze-v8,future-settle-early-4,3308000,3308000,2593700,4453700,84023,152
blaze-v8,game-sm-success_1-1,1352900,1352900,1000500,2394400,37204,370
blaze-v8,game-sm-success_1-2,611100,611100,492800,1479500,10022,819
blaze-v8,game-sm-success_1-3,1813300,1813300,1397900,2818500,43881,276
blaze-v8,game-sm-success_1-4,689500,689500,564100,1427500,11997,726
blaze-v8,game-sm-success_2-1,1216900,1216900,939100,2222000,30544,411
blaze-v8,game-sm-success_2-2,587600,587600,487400,1401700,9225,851
blaze-v8,game-sm-success_2-3,1821800,1821800,1399700,3660100,47002,275
blaze-v8,game-sm-success_2-4,681000,681000,562000,1513300,11713,735
blaze-v8,game-sm-success_2-5,1777000,1777000,1397700,2699200,41759,282
blaze-v8,game-sm-success_2-6,677800,677800,553900,1493600,11658,738
blaze-v8,multisig-sm-1,1264900,1264900,984600,3163100,34911,396
blaze-v8,multisig-sm-10,1621800,1621800,1262300,2394000,36814,309
blaze-v8,multisig-sm-2,1237900,1237900,972000,2240800,31195,404
blaze-v8,multisig-sm-3,1324400,1324400,954500,3654600,42380,378
blaze-v8,multisig-sm-4,1260400,1260400,987900,2363500,32896,398
blaze-v8,multisig-sm-5,1662900,1662900,1298200,2614300,39577,302
blaze-v8,multisig-sm-6,1306400,1306400,981600,4321400,40498,383
blaze-v8,multisig-sm-7,1229300,1229300,963200,2150500,30732,407
blaze-v8,multisig-sm-8,1238800,1238800,976500,2189200,31589,404
blaze-v8,multisig-sm-9,1261200,1261200,992100,2104900,32538,397
blaze-v8,ping-pong-1,1002500,1002500,776100,1920900,24260,499
blaze-v8,ping-pong-2,1013200,1013200,796900,1818100,24418,494
blaze-v8,ping-pong_2-1,724300,724300,557400,2061100,18397,691
blaze-v8,prism-1,490700,490700,411800,1305300,7949,1019
blaze-v8,prism-2,1203800,1203800,980400,2169400,24196,416
blaze-v8,prism-3,1007300,1007300,821400,1821600,18131,497
blaze-v8,pubkey-1,431300,431300,354900,1019400,6728,1160
blaze-v8,stablecoin_1-1,5329700,5329700,4524700,6991000,114588,94
blaze-v8,stablecoin_1-2,582400,582400,475500,1418200,10366,859
blaze-v8,stablecoin_1-3,5587300,5587300,4829700,6461400,102806,90
blaze-v8,stablecoin_1-4,651900,651900,506600,2043899,13624,768
blaze-v8,stablecoin_1-5,6658000,6658000,5550500,7221900,85222,76
blaze-v8,stablecoin_1-6,738900,738900,610100,1636700,12487,677
blaze-v8,stablecoin_2-1,5174700,5174700,4472800,6164600,97801,97
blaze-v8,stablecoin_2-2,581200,581200,475500,1391600,9996,861
blaze-v8,stablecoin_2-3,5738700,5738700,4818300,6793100,121086,88
blaze-v8,stablecoin_2-4,612400,612400,506300,1396400,10778,817
blaze-v8,token-account-1,561800,561800,445300,1330100,10898,891
blaze-v8,token-account-2,879200,879200,706200,1797300,15386,569
blaze-v8,uniswap-1,1040700,1040700,836400,1807500,19252,481
blaze-v8,uniswap-2,657800,657800,523000,1451000,12629,761
blaze-v8,uniswap-3,4991400,4991400,4548900,6617600,64888,101
blaze-v8,uniswap-4,955300,955300,803300,1596700,15475,524
blaze-v8,uniswap-5,3472500,3472500,2661300,4560800,69450,144
blaze-v8,uniswap-6,933400,933400,760300,1799100,16614,536
blaze-v8,vesting-1,964600,964600,750900,1907400,21510,519
