vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
chrysalis-aot,auction_1-1,269681,269032,268012,272000,2071,3
chrysalis-aot,auction_1-2,908346,908205,907733,909100,694,3
chrysalis-aot,auction_1-3,899188,899860,895379,902324,3521,3
chrysalis-aot,auction_1-4,324534,325052,323279,325271,1092,3
chrysalis-aot,auction_2-1,267512,267496,266629,268410,890,3
chrysalis-aot,auction_2-2,919811,919640,918835,920958,1071,3
chrysalis-aot,auction_2-3,1179474,1179147,1176179,1183096,3470,3
chrysalis-aot,auction_2-4,929208,928915,927571,931138,1801,3
chrysalis-aot,auction_2-5,325069,325418,324352,325436,620,3
chrysalis-aot,crowdfunding-success-1,319928,319895,318979,320910,965,3
chrysalis-aot,crowdfunding-success-2,316737,316785,316235,317191,479,3
chrysalis-aot,crowdfunding-success-3,318656,318992,317300,319675,1222,3
chrysalis-aot,currency-1,378052,378473,376333,379351,1552,3
chrysalis-aot,escrow-redeem_1-1,502424,502422,502330,502519,94,3
chrysalis-aot,escrow-redeem_1-2,504201,504684,501245,506675,2746,3
chrysalis-aot,escrow-redeem_2-1,563813,561187,558301,571950,7193,3
chrysalis-aot,escrow-redeem_2-2,565458,565443,562928,568004,2537,3
chrysalis-aot,escrow-redeem_2-3,562479,562369,561678,563391,862,3
chrysalis-aot,escrow-refund-1,319011,319015,318191,319828,818,3
chrysalis-aot,future-increase-margin-1,377907,376204,374713,382803,4305,3
chrysalis-aot,future-increase-margin-2,717340,717302,715557,719162,1803,3
chrysalis-aot,future-increase-margin-3,704894,703564,703156,707961,2664,3
chrysalis-aot,future-increase-margin-4,847725,845741,842779,854656,6181,3
chrysalis-aot,future-increase-margin-5,1266288,1272319,1229891,1296654,33787,3
chrysalis-aot,future-pay-out-1,376825,375572,373908,380994,3705,3
chrysalis-aot,future-pay-out-2,738151,704953,695362,814139,65981,3
chrysalis-aot,future-pay-out-3,716205,711197,709863,727554,9851,3
chrysalis-aot,future-pay-out-4,1179558,1179763,1178710,1180199,765,3
chrysalis-aot,future-settle-early-1,375918,374846,373702,379206,2904,3
chrysalis-aot,future-settle-early-2,716202,709411,708392,730803,12655,3
chrysalis-aot,future-settle-early-3,697949,700131,692594,701123,4664,3
chrysalis-aot,future-settle-early-4,989044,965149,955807,1046177,49698,3
chrysalis-aot,game-sm-success_1-1,629114,628468,627697,631178,1828,3
chrysalis-aot,game-sm-success_1-2,276169,273933,272966,281607,4734,3
chrysalis-aot,game-sm-success_1-3,1066963,1101243,932708,1166940,120819,3
chrysalis-aot,game-sm-success_1-4,303400,303427,303123,303650,264,3
chrysalis-aot,game-sm-success_2-1,632661,631467,630722,635795,2739,3
chrysalis-aot,game-sm-success_2-2,275585,276800,272130,277826,3036,3
chrysalis-aot,game-sm-success_2-3,912053,911874,910928,913356,1223,3
chrysalis-aot,game-sm-success_2-4,307033,308418,303050,309630,3501,3
chrysalis-aot,game-sm-success_2-5,917752,918664,911296,923296,6051,3
chrysalis-aot,game-sm-success_2-6,309920,309454,309259,311046,980,3
chrysalis-aot,multisig-sm-1,667809,666309,665248,671869,3556,3
chrysalis-aot,multisig-sm-10,852508,845596,839882,872045,17159,3
chrysalis-aot,multisig-sm-2,658712,659082,657033,660022,1528,3
chrysalis-aot,multisig-sm-3,675117,679022,666512,679816,7462,3
chrysalis-aot,multisig-sm-4,670036,669462,668893,671754,1514,3
chrysalis-aot,multisig-sm-5,848140,846905,839633,857883,9187,3
chrysalis-aot,multisig-sm-6,670501,670398,669679,671426,877,3
chrysalis-aot,multisig-sm-7,661584,661846,660711,662196,776,3
chrysalis-aot,multisig-sm-8,662377,662381,660034,664716,2341,3
chrysalis-aot,multisig-sm-9,664005,663593,663271,665150,1004,3
chrysalis-aot,ping-pong_2-1,429218,428279,425053,434321,4704,3
chrysalis-aot,ping-pong-1,557743,555303,552641,565284,6665,3
chrysalis-aot,ping-pong-2,556282,557171,552303,559372,3617,3
chrysalis-aot,prism-1,238644,238411,238293,239227,508,3
chrysalis-aot,prism-2,656633,656437,652702,660759,4032,3
chrysalis-aot,prism-3,495204,492342,491879,501391,5362,3
chrysalis-aot,pubkey-1,237014,238577,218894,253570,17390,3
chrysalis-aot,stablecoin_1-1,1361057,1358743,1355105,1369323,7386,3
chrysalis-aot,stablecoin_1-2,274388,272610,272199,278354,3441,3
chrysalis-aot,stablecoin_1-3,1545880,1555021,1523797,1558821,19218,3
chrysalis-aot,stablecoin_1-4,282202,282267,281190,283148,980,3
chrysalis-aot,stablecoin_1-5,2021255,1916847,1903907,2243012,192155,3
chrysalis-aot,stablecoin_1-6,328449,324421,323918,337008,7416,3
chrysalis-aot,stablecoin_2-1,1370059,1368701,1360944,1380534,9865,3
chrysalis-aot,stablecoin_2-2,283051,275631,275567,297957,12908,3
chrysalis-aot,stablecoin_2-3,1528396,1525767,1523520,1535901,6595,3
chrysalis-aot,stablecoin_2-4,281221,279098,278408,286156,4288,3
chrysalis-aot,token-account-1,304512,304211,303853,305471,850,3
chrysalis-aot,token-account-2,439504,439359,439119,440033,473,3
chrysalis-aot,uniswap-1,540031,540125,539680,540289,314,3
chrysalis-aot,uniswap-2,344877,341529,339765,353336,7378,3
chrysalis-aot,uniswap-3,2080051,2082133,2067713,2090307,11439,3
chrysalis-aot,uniswap-4,416342,412344,412242,424439,7012,3
chrysalis-aot,uniswap-5,1422186,1413692,1411647,1441220,16515,3
chrysalis-aot,uniswap-6,397673,398130,396656,398233,882,3
chrysalis-aot,vesting-1,528048,528741,525859,529543,1937,3
