vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
chrysalis,auction_1-1,260034,260005,259744,260353,305,3
chrysalis,auction_1-2,873976,875440,869569,876919,3887,3
chrysalis,auction_1-3,869366,871014,865015,872070,3805,3
chrysalis,auction_1-4,306962,307122,305845,307919,1046,3
chrysalis,auction_2-1,263405,263410,261944,264861,1458,3
chrysalis,auction_2-2,872818,873632,867257,877566,5202,3
chrysalis,auction_2-3,1106680,1103006,1098840,1118195,10187,3
chrysalis,auction_2-4,895825,899661,885106,902707,9406,3
chrysalis,auction_2-5,317308,317216,316597,318112,761,3
chrysalis,crowdfunding-success-1,303470,302097,301257,307055,3133,3
chrysalis,crowdfunding-success-2,302648,302950,300724,304270,1792,3
chrysalis,crowdfunding-success-3,302628,303076,300010,304798,2425,3
chrysalis,currency-1,359434,358539,358297,361468,1765,3
chrysalis,escrow-redeem_1-1,492746,491354,490300,496584,3365,3
chrysalis,escrow-redeem_1-2,493284,495248,489073,495531,3649,3
chrysalis,escrow-redeem_2-1,548659,549174,547404,549398,1092,3
chrysalis,escrow-redeem_2-2,555900,553615,552339,561747,5103,3
chrysalis,escrow-redeem_2-3,548079,550223,541140,552874,6153,3
chrysalis,escrow-refund-1,286669,286141,285452,288414,1550,3
chrysalis,future-increase-margin-1,359432,359680,358929,359688,435,3
chrysalis,future-increase-margin-2,677518,677195,677062,678299,678,3
chrysalis,future-increase-margin-3,686116,688081,681253,689014,4237,3
chrysalis,future-increase-margin-4,782455,778866,778438,790061,6590,3
chrysalis,future-increase-margin-5,1141958,1145157,1135364,1145353,5711,3
chrysalis,future-pay-out-1,362733,361777,360141,366282,3180,3
chrysalis,future-pay-out-2,690927,688580,685202,698998,7191,3
chrysalis,future-pay-out-3,684875,683419,682726,688480,3141,3
chrysalis,future-pay-out-4,1145747,1146011,1145169,1146061,501,3
chrysalis,future-settle-early-1,360375,360849,356178,364096,3980,3
chrysalis,future-settle-early-2,680677,680958,678927,682145,1627,3
chrysalis,future-settle-early-3,683558,684118,681489,685067,1853,3
chrysalis,future-settle-early-4,935857,934651,929720,943200,6820,3
chrysalis,game-sm-success_1-1,623041,621936,621849,625339,1990,3
chrysalis,game-sm-success_1-2,268961,268967,267637,270281,1321,3
chrysalis,game-sm-success_1-3,874944,874592,872219,878020,2916,3
chrysalis,game-sm-success_1-4,296641,296772,296296,296855,301,3
chrysalis,game-sm-success_2-1,603056,605100,595928,608142,6357,3
chrysalis,game-sm-success_2-2,264553,265050,262853,265755,1513,3
chrysalis,game-sm-success_2-3,859120,856135,854126,867100,6983,3
chrysalis,game-sm-success_2-4,294869,294944,292377,297287,2456,3
chrysalis,game-sm-success_2-5,867369,867768,863573,870765,3612,3
chrysalis,game-sm-success_2-6,313372,305476,300180,334461,18454,3
chrysalis,multisig-sm-1,667875,677031,642439,684156,22314,3
chrysalis,multisig-sm-10,820274,820816,815063,824944,4962,3
chrysalis,multisig-sm-2,625052,626735,621018,627404,3509,3
chrysalis,multisig-sm-3,638604,640072,633596,642144,4458,3
chrysalis,multisig-sm-4,671516,675036,661114,678398,9163,3
chrysalis,multisig-sm-5,828688,821304,814848,849911,18661,3
chrysalis,multisig-sm-6,637181,635400,634986,641156,3449,3
chrysalis,multisig-sm-7,632705,628653,626915,642546,8567,3
chrysalis,multisig-sm-8,647528,645952,637298,659335,11102,3
chrysalis,multisig-sm-9,663601,663913,661790,665101,1677,3
chrysalis,ping-pong_2-1,405361,405398,403821,406865,1522,3
chrysalis,ping-pong-1,535688,536060,534575,536428,981,3
chrysalis,ping-pong-2,558937,558202,556893,561718,2495,3
chrysalis,prism-1,236117,234925,234490,238936,2450,3
chrysalis,prism-2,629185,628996,628849,629711,460,3
chrysalis,prism-3,513510,511284,509907,519338,5094,3
chrysalis,pubkey-1,221523,222643,219011,222916,2179,3
chrysalis,stablecoin_1-1,1345809,1348784,1339818,1348826,5188,3
chrysalis,stablecoin_1-2,267265,267075,266336,268383,1036,3
chrysalis,stablecoin_1-3,1506484,1506796,1503903,1508751,2438,3
chrysalis,stablecoin_1-4,276937,277232,276143,277435,694,3
chrysalis,stablecoin_1-5,2099348,1995462,1966791,2335789,205265,3
chrysalis,stablecoin_1-6,356717,353959,345848,370345,12479,3
chrysalis,stablecoin_2-1,1424967,1438511,1350853,1485536,68355,3
chrysalis,stablecoin_2-2,265974,265723,264542,267658,1573,3
chrysalis,stablecoin_2-3,1511944,1511389,1511235,1513208,1097,3
chrysalis,stablecoin_2-4,276301,277739,271052,280113,4698,3
chrysalis,token-account-1,292857,292649,292177,293747,805,3
chrysalis,token-account-2,467916,471594,459970,472185,6888,3
chrysalis,uniswap-1,547881,548596,545675,549372,1949,3
chrysalis,uniswap-2,329929,330812,327752,331223,1896,3
chrysalis,uniswap-3,2008207,2004787,2002679,2017155,7820,3
chrysalis,uniswap-4,412204,411817,408193,416601,4217,3
chrysalis,uniswap-5,1394830,1398336,1382370,1403784,11129,3
chrysalis,uniswap-6,395037,394391,392408,398311,3003,3
chrysalis,vesting-1,493727,493429,492687,495065,1216,3
