vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
opshin,auction_1-1,93160000,93160000,87480000,115480000,7060000,22
opshin,auction_1-2,323260000,323260000,313930000,342670000,8900000,20
opshin,auction_1-3,327060000,327060000,315820000,345110000,9660000,20
opshin,auction_1-4,106700000,106700000,103200000,125900000,5860000,20
opshin,auction_2-1,88150000,88150000,84980000,107400000,6380000,23
opshin,auction_2-2,323320000,323320000,313240000,342550000,9240000,20
opshin,auction_2-3,407340000,407340000,397280000,426920000,8660000,20
opshin,auction_2-4,326060000,326060000,315250000,346120000,10360000,20
opshin,auction_2-5,108380000,108380000,105400000,125030000,5460000,20
opshin,crowdfunding-success-1,107520000,107520000,103300000,126120000,5900000,20
opshin,crowdfunding-success-2,105320000,105320000,100780000,121970000,6430000,20
opshin,crowdfunding-success-3,105630000,105630000,100800000,122790000,6430000,20
opshin,currency-1,132009999,132009999,127960000,147360000,5990000,20
opshin,escrow-redeem_1-1,179010000,179010000,171440000,200270000,8910000,20
opshin,escrow-redeem_1-2,177580000,177580000,172360000,195930000,8010000,20
opshin,escrow-redeem_2-1,199620000,199620000,194790000,218240000,6900000,20
opshin,escrow-redeem_2-2,203870000,203870000,196110000,234710000,10040000,20
opshin,escrow-redeem_2-3,202050000,202050000,196630000,219380000,6670000,20
opshin,escrow-refund-1,95450000,95450000,90490000,110790000,7060000,21
opshin,future-increase-margin-1,130539999,130539999,127020000,144570000,5670000,20
opshin,future-increase-margin-2,258670000,258670000,250370000,290790000,10570000,20
opshin,future-increase-margin-3,258320000,258320000,251410000,277860000,8310000,20
opshin,future-pay-out-1,132690000,132690000,128770000,147310000,5970000,20
opshin,future-pay-out-2,256860000,256860000,251330000,275390000,7160000,20
opshin,future-pay-out-3,260920000,260920000,250280000,282770000,8289999,20
opshin,future-settle-early-1,130080000,130080000,126530000,146490000,5350000,20
opshin,future-settle-early-2,256010000,256010000,249600000,272170000,7580000,20
opshin,future-settle-early-3,257589999,257589999,250240000,277120000,8150000,20
opshin,game-sm-success_1-1,209220000,209220000,202370000,226800000,8289999,20
opshin,game-sm-success_1-2,93890000,93890000,90060000,111650000,5970000,22
opshin,game-sm-success_1-3,318240000,318240000,309470000,336830000,9600000,20
opshin,game-sm-success_1-4,104210000,104210000,101790000,120490000,5230000,20
opshin,game-sm-success_2-1,209480000,209480000,201450000,224920000,8500000,20
opshin,game-sm-success_2-2,92940000,92940000,90160000,109790000,5280000,22
opshin,game-sm-success_2-3,321340000,321340000,311630000,339040000,8920000,20
opshin,game-sm-success_2-4,105770000,105770000,102050000,122580000,4170000,20
opshin,game-sm-success_2-5,318560000,318560000,311010000,336310000,8850000,20
opshin,game-sm-success_2-6,107450000,107450000,103380000,122590000,5000000,20
opshin,ping-pong-1,188860000,188860000,181900000,204180000,8580000,20
opshin,ping-pong-2,188540000,188540000,182150000,203390000,8430000,20
opshin,ping-pong_2-1,137540000,137540000,130680000,157070000,8960000,20
opshin,prism-1,82580000,82580000,79850000,100500000,5280000,25
opshin,prism-2,235660000,235660000,221210000,288940000,15370000,20
opshin,prism-3,208160000,208160000,176290000,258200000,26480000,20
opshin,pubkey-1,76670000,76670000,70150000,94960000,8119999,27
opshin,stablecoin_1-2,107010000,107010000,91420000,148080000,18140000,20
opshin,stablecoin_1-4,109730000,109730000,96720000,131199999,9970000,20
opshin,stablecoin_1-6,133560000,133560000,114960000,197860000,20900000,20
opshin,stablecoin_2-2,104130000,104130000,93380000,129509999,11060000,20
opshin,stablecoin_2-4,105090000,105090000,97870000,136900000,9730000,20
opshin,token-account-1,107360000,107360000,101800000,127410000,7820000,20
opshin,token-account-2,163170000,163170000,159690000,179960000,5430000,20
opshin,uniswap-1,210220000,210220000,204940000,223430000,5790000,20
opshin,uniswap-2,117740000,117740000,113510000,132669999,6110000,20
opshin,uniswap-3,737990000,737990000,719580000,769710000,14740000,20
opshin,uniswap-4,149140000,149140000,145300000,166520000,6960000,20
opshin,uniswap-5,508690000,508690000,482110000,533380000,14190000,20
opshin,uniswap-6,141310000,141310000,137970000,156950000,5110000,20
opshin,vesting-1,183460000,183460000,177450000,203060000,7150000,20
