vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
plutigo,auction_1-1,1104048,1104048,0,0,0,5335
plutigo,auction_1-2,3636521,3636521,0,0,0,1647
plutigo,auction_1-3,3664499,3664499,0,0,0,1646
plutigo,auction_1-4,1368884,1368884,0,0,0,4380
plutigo,auction_2-1,1095761,1095761,0,0,0,5534
plutigo,auction_2-2,3626687,3626687,0,0,0,1662
plutigo,auction_2-3,4648285,4648285,0,0,0,1286
plutigo,auction_2-4,3639738,3639738,0,0,0,1648
plutigo,auction_2-5,1377089,1377089,0,0,0,4352
plutigo,crowdfunding-success-1,1283665,1283665,0,0,0,4659
plutigo,crowdfunding-success-2,1288581,1288581,0,0,0,4674
plutigo,crowdfunding-success-3,1287464,1287464,0,0,0,4666
plutigo,currency-1,1484938,1484938,0,0,0,4060
plutigo,escrow-redeem_1-1,2050866,2050866,0,0,0,2959
plutigo,escrow-redeem_1-2,2038426,2038426,0,0,0,2961
plutigo,escrow-redeem_2-1,2465491,2465491,0,0,0,2542
plutigo,escrow-redeem_2-2,3181369,3181369,0,0,0,1734
plutigo,escrow-redeem_2-3,2359483,2359483,0,0,0,2478
plutigo,escrow-refund-1,1057328,1057328,0,0,0,5701
plutigo,future-increase-margin-1,1483786,1483786,0,0,0,4077
plutigo,future-increase-margin-2,3067353,3067353,0,0,0,1960
plutigo,future-increase-margin-3,3073875,3073875,0,0,0,1945
plutigo,future-increase-margin-4,2968967,2968967,0,0,0,2035
plutigo,future-increase-margin-5,4357394,4357394,0,0,0,1380
plutigo,future-pay-out-1,1502966,1502966,0,0,0,4040
plutigo,future-pay-out-2,3058575,3058575,0,0,0,1954
plutigo,future-pay-out-3,3054392,3054392,0,0,0,1965
plutigo,future-pay-out-4,4348922,4348922,0,0,0,1381
plutigo,future-settle-early-1,1483265,1483265,0,0,0,4059
plutigo,future-settle-early-2,3062130,3062130,0,0,0,1971
plutigo,future-settle-early-3,3069157,3069157,0,0,0,1953
plutigo,future-settle-early-4,3340940,3340940,0,0,0,1784
plutigo,game-sm-success_1-1,2555964,2555964,0,0,0,2566
plutigo,game-sm-success_1-2,1413954,1413954,0,0,0,4017
plutigo,game-sm-success_1-3,3639278,3639278,0,0,0,1664
plutigo,game-sm-success_1-4,1391808,1391808,0,0,0,4387
plutigo,game-sm-success_2-1,2361218,2361218,0,0,0,2535
plutigo,game-sm-success_2-2,1199983,1199983,0,0,0,5055
plutigo,game-sm-success_2-3,3653040,3653040,0,0,0,1624
plutigo,game-sm-success_2-4,1381878,1381878,0,0,0,4386
plutigo,game-sm-success_2-5,3666461,3666461,0,0,0,1626
plutigo,game-sm-success_2-6,1382110,1382110,0,0,0,4327
plutigo,multisig-sm-1,2431128,2431128,0,0,0,2470
plutigo,multisig-sm-10,3250161,3250161,0,0,0,1858
plutigo,multisig-sm-2,2373241,2373241,0,0,0,2512
plutigo,multisig-sm-3,2402315,2402315,0,0,0,2510
plutigo,multisig-sm-4,2474129,2474129,0,0,0,2372
plutigo,multisig-sm-5,3253525,3253525,0,0,0,1868
plutigo,multisig-sm-6,2430491,2430491,0,0,0,2455
plutigo,multisig-sm-7,2384014,2384014,0,0,0,2514
plutigo,multisig-sm-8,2424554,2424554,0,0,0,2503
plutigo,multisig-sm-9,2436118,2436118,0,0,0,2478
plutigo,ping-pong-1,2032994,2032994,0,0,0,2942
plutigo,ping-pong-2,2028859,2028859,0,0,0,2967
plutigo,ping-pong_2-1,1403113,1403113,0,0,0,4172
plutigo,prism-1,1019405,1019405,0,0,0,5922
plutigo,prism-2,2620151,2620151,0,0,0,2374
plutigo,prism-3,2797684,2797684,0,0,0,1952
plutigo,pubkey-1,892930,892930,0,0,0,6722
plutigo,stablecoin_1-1,5603062,5603062,0,0,0,1342
plutigo,stablecoin_1-2,1291086,1291086,0,0,0,5018
plutigo,stablecoin_1-3,5281298,5281298,0,0,0,1117
plutigo,stablecoin_1-4,1263614,1263614,0,0,0,4678
plutigo,stablecoin_1-5,6489892,6489892,0,0,0,918
plutigo,stablecoin_1-6,1516032,1516032,0,0,0,3946
plutigo,stablecoin_2-1,4515069,4515069,0,0,0,1333
plutigo,stablecoin_2-2,1199130,1199130,0,0,0,4976
plutigo,stablecoin_2-3,5225354,5225354,0,0,0,1155
plutigo,stablecoin_2-4,1261789,1261789,0,0,0,4804
plutigo,token-account-1,1178043,1178043,0,0,0,5124
plutigo,token-account-2,1966311,1966311,0,0,0,2962
plutigo,uniswap-1,2403805,2403805,0,0,0,2516
plutigo,uniswap-2,1372841,1372841,0,0,0,4428
plutigo,uniswap-3,8722111,8722111,0,0,0,688
plutigo,uniswap-4,1974857,1974857,0,0,0,3073
plutigo,uniswap-5,6039369,6039369,0,0,0,998
plutigo,uniswap-6,1891457,1891457,0,0,0,3165
plutigo,vesting-1,2048118,2048118,0,0,0,2910
