vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
plutuz,auction_1-1,197248,192030,186448,432111,12375,10000
plutuz,auction_1-2,615987,610919,580405,2230210,28241,8118
plutuz,auction_1-3,601876,597741,574531,2154236,26616,8308
plutuz,auction_1-4,230916,225985,220251,353736,11405,10000
plutuz,auction_2-1,196616,192289,186892,425987,11123,10000
plutuz,auction_2-2,617184,611958,583179,1434131,22510,8102
plutuz,auction_2-3,732136,730287,697201,1072129,23465,6830
plutuz,auction_2-4,602697,600128,575365,825777,15773,8297
plutuz,auction_2-5,229617,224985,218893,2013913,20942,10000
plutuz,crowdfunding-success-1,226989,221822,216521,356861,10876,10000
plutuz,crowdfunding-success-2,232301,225192,216340,574137,17412,10000
plutuz,crowdfunding-success-3,227736,222494,217244,342049,11254,10000
plutuz,currency-1,252798,246990,239692,541264,13410,10000
plutuz,escrow-redeem_1-1,345907,341677,328454,512074,13745,10000
plutuz,escrow-redeem_1-2,344666,340401,328178,480033,13249,10000
plutuz,escrow-redeem_2-1,378014,373996,361590,1904590,20132,10000
plutuz,escrow-redeem_2-2,383170,377618,360347,1480792,23911,10000
plutuz,escrow-redeem_2-3,379809,375842,361569,553157,15806,10000
plutuz,escrow-refund-1,223695,218983,212704,380270,11330,10000
plutuz,future-increase-margin-1,252707,246197,239833,582745,14330,10000
plutuz,future-increase-margin-2,461174,455560,435983,746844,20878,10000
plutuz,future-increase-margin-3,467936,462051,436963,974222,22552,10000
plutuz,future-increase-margin-4,585267,586134,540781,1297208,30900,8544
plutuz,future-increase-margin-5,837915,837376,791534,1375046,28771,5968
plutuz,future-pay-out-1,252153,246369,240036,930331,14453,10000
plutuz,future-pay-out-2,455646,452515,434847,1152710,17066,10000
plutuz,future-pay-out-3,455925,452688,435345,949013,16239,10000
plutuz,future-pay-out-4,835780,831720,789913,2114892,34801,5983
plutuz,future-settle-early-1,255313,248220,240317,354613,15710,10000
plutuz,future-settle-early-2,461980,455626,436104,1809046,25394,10000
plutuz,future-settle-early-3,456236,453049,434815,1254797,17692,10000
plutuz,future-settle-early-4,684042,678564,645011,1229995,28877,7310
plutuz,game-sm-success_1-1,452562,445920,428780,2008390,24825,10000
plutuz,game-sm-success_1-2,197129,192642,188333,749279,11935,10000
plutuz,game-sm-success_1-3,626418,625261,578821,1390150,33392,7982
plutuz,game-sm-success_1-4,225251,217981,209670,961663,18459,10000
plutuz,game-sm-success_2-1,451261,444786,428030,2124708,24383,10000
plutuz,game-sm-success_2-2,197487,192490,188164,484545,11964,10000
plutuz,game-sm-success_2-3,703953,638532,576459,2874974,138166,7103
plutuz,game-sm-success_2-4,290277,305072,214705,3673639,74778,10000
plutuz,game-sm-success_2-5,759016,679666,583811,3548169,162687,6588
plutuz,game-sm-success_2-6,239053,221331,209700,5810162,87956,10000
plutuz,multisig-sm-1,541035,502376,461784,3201342,105382,9242
plutuz,multisig-sm-10,609807,598906,558363,2351771,65140,8200
plutuz,multisig-sm-2,486717,478296,453145,951766,24772,10000
plutuz,multisig-sm-3,538067,501076,455724,1478892,97863,9293
plutuz,multisig-sm-4,577589,523895,463224,1380950,109868,8657
plutuz,multisig-sm-5,599219,597890,558148,962133,28987,8345
plutuz,multisig-sm-6,485647,478406,457175,861125,22233,10000
plutuz,multisig-sm-7,557193,500595,455801,3352175,113757,8974
plutuz,multisig-sm-8,548468,507628,458403,2336011,101235,9117
plutuz,multisig-sm-9,528312,502173,457499,1748419,85086,9465
plutuz,ping-pong-1,420367,405506,387787,911579,44317,10000
plutuz,ping-pong-2,413918,404807,383132,813823,24342,10000
plutuz,ping-pong_2-1,355706,325398,301777,1629716,65322,10000
plutuz,prism-1,177006,172660,167408,1320195,15474,10000
plutuz,prism-2,511044,481628,447120,1306641,83290,9784
plutuz,prism-3,358936,342215,325440,967402,47445,10000
plutuz,pubkey-1,180591,160344,150915,7312223,104578,10000
plutuz,stablecoin_1-1,1103901,1036614,973939,3556965,189251,4530
plutuz,stablecoin_1-2,197608,192694,186330,365052,11879,10000
plutuz,stablecoin_1-3,1423434,1260541,1090308,5497621,315677,3513
plutuz,stablecoin_1-4,253577,240269,195436,2275018,53853,10000
plutuz,stablecoin_1-5,1535423,1433775,1324349,3627076,270375,3257
plutuz,stablecoin_1-6,248762,236016,224900,718185,36395,10000
plutuz,stablecoin_2-1,1076315,1033181,972367,2229796,135784,4646
plutuz,stablecoin_2-2,197286,192711,187183,281828,10676,10000
plutuz,stablecoin_2-3,1137569,1134550,1080820,2089741,38681,4396
plutuz,stablecoin_2-4,204569,200293,194430,282699,10138,10000
plutuz,token-account-1,217332,212520,207079,493887,11152,10000
plutuz,token-account-2,296835,290433,281695,695475,15727,10000
plutuz,uniswap-1,344004,338435,327964,754902,15266,10000
plutuz,uniswap-2,245960,239083,230249,1106533,18076,10000
plutuz,uniswap-3,1368305,1359371,1296990,3630946,74346,3655
plutuz,uniswap-4,294898,290014,278958,648247,15866,10000
plutuz,uniswap-5,959901,958046,916118,1689526,22726,5209
plutuz,uniswap-6,282016,277639,268638,815060,12881,10000
plutuz,vesting-1,345298,339905,325405,2059006,24724,10000
