vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
uplc-turbo,auction_1-1,259401,257462,253218,281619,5521,100
uplc-turbo,auction_1-2,789727,757465,751472,985697,62276,100
uplc-turbo,auction_1-3,752827,750845,741359,782911,6060,100
uplc-turbo,auction_1-4,321988,310784,307801,423459,24065,100
uplc-turbo,auction_2-1,263474,256145,252222,376861,19762,100
uplc-turbo,auction_2-2,758331,754996,749359,786302,7174,100
uplc-turbo,auction_2-3,945350,936678,924479,1050198,24762,100
uplc-turbo,auction_2-4,763260,762747,747480,791058,10420,100
uplc-turbo,auction_2-5,312295,310444,306641,324590,4363,100
uplc-turbo,crowdfunding-success-1,292856,291851,287948,305974,3515,100
uplc-turbo,crowdfunding-success-2,295831,293326,287101,320305,8517,100
uplc-turbo,crowdfunding-success-3,289719,289571,284962,295723,1419,100
uplc-turbo,currency-1,324138,321888,318863,333733,4256,100
uplc-turbo,escrow-redeem_1-1,436670,436200,432572,444022,2360,100
uplc-turbo,escrow-redeem_1-2,435934,435027,431465,448157,3344,100
uplc-turbo,escrow-redeem_2-1,491991,491367,486659,501381,3318,100
uplc-turbo,escrow-redeem_2-2,491646,488472,484983,545183,8353,100
uplc-turbo,escrow-redeem_2-3,492622,490677,486176,506829,5529,100
uplc-turbo,escrow-refund-1,260201,259214,250958,299386,6105,100
uplc-turbo,future-increase-margin-1,321474,320109,317754,354853,4609,100
uplc-turbo,future-increase-margin-2,620994,617217,610721,650482,8596,100
uplc-turbo,future-increase-margin-3,620921,626663,607581,636578,9390,100
uplc-turbo,future-increase-margin-4,666981,666213,655376,682014,5088,100
uplc-turbo,future-increase-margin-5,958030,954729,943767,972335,8591,100
uplc-turbo,future-pay-out-1,319908,318886,315426,339627,3585,100
uplc-turbo,future-pay-out-2,615010,612905,608467,636439,5844,100
uplc-turbo,future-pay-out-3,618368,614311,610363,665966,10765,100
uplc-turbo,future-pay-out-4,951612,951111,945445,982737,4831,100
uplc-turbo,future-settle-early-1,321554,318757,316668,345614,7111,100
uplc-turbo,future-settle-early-2,618575,616841,608464,715110,11289,100
uplc-turbo,future-settle-early-3,632256,631360,615982,648027,6275,100
uplc-turbo,future-settle-early-4,777024,776557,770985,810832,4470,100
uplc-turbo,game-sm-success_1-1,526196,523741,520384,548881,6073,100
uplc-turbo,game-sm-success_1-2,275636,275037,266362,286743,4104,100
uplc-turbo,game-sm-success_1-3,754308,751486,746305,770464,6265,100
uplc-turbo,game-sm-success_1-4,305770,306915,299054,325688,4171,100
uplc-turbo,game-sm-success_2-1,531535,528908,522507,545491,6674,100
uplc-turbo,game-sm-success_2-2,267427,266121,263808,304747,5871,100
uplc-turbo,game-sm-success_2-3,759433,754756,746027,805081,13423,100
uplc-turbo,game-sm-success_2-4,306957,307563,298366,316374,3952,100
uplc-turbo,game-sm-success_2-5,752204,750143,744103,773955,6222,100
uplc-turbo,game-sm-success_2-6,304395,303093,299109,332092,4122,100
uplc-turbo,multisig-sm-1,558895,554774,544606,593248,9690,100
uplc-turbo,multisig-sm-10,702101,700450,695018,724141,5174,100
uplc-turbo,multisig-sm-2,545417,543833,534034,588758,6915,100
uplc-turbo,multisig-sm-3,551138,547260,540497,607778,8972,100
uplc-turbo,multisig-sm-4,550936,549701,546009,571233,4564,100
uplc-turbo,multisig-sm-5,703236,699589,696461,735464,7655,100
uplc-turbo,multisig-sm-6,554266,552704,548389,591845,6662,100
uplc-turbo,multisig-sm-7,554116,553934,537821,626020,9692,100
uplc-turbo,multisig-sm-8,556831,558984,546320,568055,5728,100
uplc-turbo,multisig-sm-9,555766,552647,547104,571204,6979,100
uplc-turbo,ping-pong-1,496789,480692,457369,624798,39351,100
uplc-turbo,ping-pong-2,462468,459070,453540,538008,11028,100
uplc-turbo,ping-pong_2-1,339048,337675,333832,361572,4518,100
uplc-turbo,prism-1,226771,225716,220805,234252,2642,100
uplc-turbo,prism-2,559890,555297,549777,598809,9957,100
uplc-turbo,prism-3,453842,451713,448087,487472,6253,100
uplc-turbo,pubkey-1,201116,200650,198822,209001,1822,100
uplc-turbo,stablecoin_1-1,1134983,1134548,1113605,1153763,6115,100
uplc-turbo,stablecoin_1-2,266403,265068,262837,274762,2981,100
uplc-turbo,stablecoin_1-3,1275599,1271836,1258941,1403445,15976,100
uplc-turbo,stablecoin_1-4,279428,278083,275367,288385,3038,100
uplc-turbo,stablecoin_1-5,1605197,1603263,1584102,1640350,12132,100
uplc-turbo,stablecoin_1-6,335727,336619,328804,346789,3192,100
uplc-turbo,stablecoin_2-1,1123175,1120871,1109141,1144067,8065,100
uplc-turbo,stablecoin_2-2,266224,264990,262432,272701,2669,100
uplc-turbo,stablecoin_2-3,1283740,1284892,1262263,1302213,7613,100
uplc-turbo,stablecoin_2-4,277224,276678,274142,284233,1715,100
uplc-turbo,token-account-1,266154,265289,263324,277060,2691,100
uplc-turbo,token-account-2,402569,399951,394653,411655,5352,100
uplc-turbo,uniswap-1,461482,458989,454657,480860,5775,100
uplc-turbo,uniswap-2,307461,306025,302630,337400,4350,100
uplc-turbo,uniswap-3,1744568,1740490,1728844,1778787,11793,100
uplc-turbo,uniswap-4,427766,426335,420824,440193,4571,100
uplc-turbo,uniswap-5,1237426,1234666,1220975,1274425,9648,100
uplc-turbo,uniswap-6,445852,417613,401132,566117,52975,100
uplc-turbo,vesting-1,431556,430392,422579,451404,5233,100
