vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
chrysalis,auction_1-1,196375,195455,195122,198547,1888,3
chrysalis-aot,auction_1-1,194000,193680,193628,194690,598,3
scalus-cek,auction_1-1,122319,122319,122319,122319,0,1
scalus-jit,auction_1-1,31841,31841,31841,31841,0,1
chrysalis,auction_1-2,698384,698402,696990,699759,1384,3
chrysalis-aot,auction_1-2,713647,714185,710907,715848,2513,3
scalus-cek,auction_1-2,498940,498940,498940,498940,0,1
scalus-jit,auction_1-2,777400,777400,777400,777400,0,1
chrysalis,auction_1-3,726899,729127,706065,745507,19814,3
chrysalis-aot,auction_1-3,701518,701112,699531,703909,2217,3
scalus-cek,auction_1-3,476841,476841,476841,476841,0,1
scalus-jit,auction_1-3,586832,586832,586832,586832,0,1
chrysalis,auction_1-4,233660,233671,233247,234061,406,3
chrysalis-aot,auction_1-4,228926,228985,228666,229129,237,3
scalus-cek,auction_1-4,154561,154561,154561,154561,0,1
scalus-jit,auction_1-4,49150,49150,49150,49150,0,1
chrysalis,auction_2-1,204087,204221,203192,204850,836,3
chrysalis-aot,auction_2-1,196872,197409,194961,198247,1707,3
scalus-cek,auction_2-1,119178,119178,119178,119178,0,1
scalus-jit,auction_2-1,38125,38125,38125,38125,0,1
chrysalis,auction_2-2,716184,713598,707623,727331,10105,3
chrysalis-aot,auction_2-2,720870,717406,715968,729236,7280,3
scalus-cek,auction_2-2,480547,480547,480547,480547,0,1
scalus-jit,auction_2-2,1131890,1131890,1131890,1131890,0,1
chrysalis,auction_2-3,880516,880400,878657,882491,1919,3
chrysalis-aot,auction_2-3,904171,906153,897166,909193,6253,3
scalus-cek,auction_2-3,613213,613213,613213,613213,0,1
scalus-jit,auction_2-3,828282,828282,828282,828282,0,1
chrysalis,auction_2-4,698043,698399,694791,700940,3089,3
chrysalis-aot,auction_2-4,713020,714727,706556,717777,5802,3
scalus-cek,auction_2-4,466904,466904,466904,466904,0,1
scalus-jit,auction_2-4,543104,543104,543104,543104,0,1
chrysalis,auction_2-5,234702,233393,233276,237437,2369,3
chrysalis-aot,auction_2-5,240773,239014,237385,245920,4531,3
scalus-cek,auction_2-5,152917,152917,152917,152917,0,1
scalus-jit,auction_2-5,43338,43338,43338,43338,0,1
chrysalis,coop-1,203895,202278,202107,207299,2949,3
chrysalis-aot,coop-1,204976,205261,204127,205538,747,3
chrysalis,coop-2,609906,609392,607586,612739,2614,3
chrysalis-aot,coop-2,620990,620396,611561,631015,9740,3
chrysalis,coop-3,1977713,1967052,1943991,2022096,40129,3
chrysalis-aot,coop-3,2154835,2143216,1991776,2329512,169167,3
chrysalis,coop-4,771996,767285,765991,782713,9303,3
chrysalis-aot,coop-4,831347,826774,822003,845264,12286,3
chrysalis,coop-5,383044,383344,382181,383607,758,3
chrysalis-aot,coop-5,388877,388339,384118,394174,5049,3
chrysalis,coop-6,520716,521289,515507,525354,4948,3
chrysalis-aot,coop-6,539633,539371,539153,540376,652,3
chrysalis,coop-7,270265,270367,269478,270948,740,3
