vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
blaze-jsc,auction_1-1,567100,567100,472000,1086000,7599,882
blaze-v8,auction_1-1,547300,547300,463800,1048100,7498,914
haskell,auction_1-1,87686,87686,87283,88186,1952,0
opshin,auction_1-1,91640000,91640000,88140000,109340000,5010000,22
plutuz,auction_1-1,199263,193415,188644,363695,12954,10000
scalus-cek,auction_1-1,122319,122319,122319,122319,0,1
scalus-jit,auction_1-1,31841,31841,31841,31841,0,1
uplc-turbo,auction_1-1,253043,252841,251567,256828,837,100
blaze-jsc,auction_1-2,1827600,1827600,1492000,2570700,37831,274
blaze-v8,auction_1-2,1767700,1767700,1427500,2426800,36944,283
haskell,auction_1-2,325890,325890,324406,327338,6483,0
opshin,auction_1-2,342190000,342190000,335650000,360800000,8780000,20
plutuz,auction_1-2,627203,622175,591883,1185128,22300,7972
scalus-cek,auction_1-2,498940,498940,498940,498940,0,1
scalus-jit,auction_1-2,777400,777400,777400,777400,0,1
uplc-turbo,auction_1-2,764872,763860,759633,775439,3274,100
blaze-jsc,auction_1-3,1825700,1825700,1478100,2791900,37426,275
blaze-v8,auction_1-3,1791300,1791300,1440400,2661200,39050,280
haskell,auction_1-3,310676,310676,309657,311761,4563,0
opshin,auction_1-3,338620000,338620000,329390000,358550000,9340000,20
plutuz,auction_1-3,617117,613690,589909,4632592,48259,8103
scalus-cek,auction_1-3,476841,476841,476841,476841,0,1
scalus-jit,auction_1-3,586832,586832,586832,586832,0,1
uplc-turbo,auction_1-3,777905,777511,759339,817780,12785,100
blaze-jsc,auction_1-4,698600,698600,602600,1146100,9291,716
blaze-v8,auction_1-4,697200,697200,592400,1113100,9342,718
haskell,auction_1-4,114597,114597,114292,114969,1527,0
opshin,auction_1-4,109810000,109810000,107040000,126220000,5450000,20
plutuz,auction_1-4,234807,230138,224364,558830,11184,10000
scalus-cek,auction_1-4,154561,154561,154561,154561,0,1
scalus-jit,auction_1-4,49150,49150,49150,49150,0,1
uplc-turbo,auction_1-4,322564,325434,310399,329939,6027,100
blaze-jsc,auction_2-1,566800,566800,473700,1194200,7595,883
blaze-v8,auction_2-1,551900,551900,464400,1023400,7119,906
haskell,auction_2-1,86508,86508,86162,86871,1547,0
opshin,auction_2-1,89420000,89420000,87370000,105470000,4740000,23
plutuz,auction_2-1,200534,195516,190675,422586,11219,10000
scalus-cek,auction_2-1,119178,119178,119178,119178,0,1
scalus-jit,auction_2-1,38125,38125,38125,38125,0,1
uplc-turbo,auction_2-1,253759,253739,250622,257028,793,100
blaze-jsc,auction_2-2,1845200,1845200,1498700,2824300,38011,271
blaze-v8,auction_2-2,1782000,1782000,1451600,2560200,36887,281
haskell,auction_2-2,328287,328287,327121,329372,4784,0
opshin,auction_2-2,334330000,334330000,323910000,349910000,10240000,20
plutuz,auction_2-2,638453,641567,597994,1110293,24028,7832
scalus-cek,auction_2-2,480547,480547,480547,480547,0,1
scalus-jit,auction_2-2,1131890,1131890,1131890,1131890,0,1
uplc-turbo,auction_2-2,776728,780761,764429,788881,7358,100
blaze-jsc,auction_2-3,2336300,2336300,1902300,3182400,44856,215
blaze-v8,auction_2-3,2259900,2259900,1817200,3068900,43616,222
haskell,auction_2-3,417889,417889,416668,419411,5918,0
opshin,auction_2-3,428520000,428520000,417780000,447070000,9220000,20
plutuz,auction_2-3,754404,753987,709047,1636166,30224,6628
scalus-cek,auction_2-3,613213,613213,613213,613213,0,1
scalus-jit,auction_2-3,828282,828282,828282,828282,0,1
uplc-turbo,auction_2-3,947247,943798,938877,977758,7798,100
blaze-jsc,auction_2-4,1851700,1851700,1490300,2543400,37959,271
blaze-v8,auction_2-4,1806800,1806800,1451900,2674700,38304,277
haskell,auction_2-4,314605,314605,313793,315525,3672,0
opshin,auction_2-4,343850000,343850000,324090000,390660000,17010000,20
plutuz,auction_2-4,616125,611965,588257,774411,18423,8116
scalus-cek,auction_2-4,466904,466904,466904,466904,0,1
scalus-jit,auction_2-4,543104,543104,543104,543104,0,1
uplc-turbo,auction_2-4,773137,772394,759355,798220,8324,100
blaze-jsc,auction_2-5,707400,707400,598700,1285800,9620,708
blaze-v8,auction_2-5,699800,699800,592000,1152700,9097,715
haskell,auction_2-5,108251,108251,107913,108675,1539,0
opshin,auction_2-5,108260000,108260000,105380000,123920000,5110000,20
plutuz,auction_2-5,233896,228954,223979,4527967,44041,10000
scalus-cek,auction_2-5,152917,152917,152917,152917,0,1
scalus-jit,auction_2-5,43338,43338,43338,43338,0,1
uplc-turbo,auction_2-5,315885,315241,313840,323346,2159,100
blaze-jsc,coop-1,761400,761400,657300,1233000,8756,657
blaze-v8,coop-1,774500,774500,669100,1316200,8906,646
haskell,coop-1,112616,112616,112352,112921,1207,0
opshin,coop-1,14690000,14690000,12780000,30310000,3850000,137
plutuz,coop-1,195641,191466,187091,481135,9778,10000
uplc-turbo,coop-1,117958,109925,97871,160973,19312,100
blaze-jsc,coop-2,2496500,2496500,2120800,3239100,38446,201
blaze-v8,coop-2,2491700,2491700,2136300,3355400,37375,201
haskell,coop-2,366765,366765,365402,368498,6548,0
opshin,coop-2,35300000,35300000,31190000,51430000,6220000,57
plutuz,coop-2,573697,569080,547802,2884819,33392,8716
uplc-turbo,coop-2,202236,197912,185254,311404,18184,100
blaze-jsc,coop-3,6083400,6083400,5576000,7767700,76042,83
blaze-v8,coop-3,6087100,6087100,5562900,6887800,64523,83
haskell,coop-3,1096022,1096022,1090106,1101510,24230,0
opshin,coop-3,35240000,35240000,30620000,53010000,6500000,57
plutuz,coop-3,1427003,1420493,1374924,5497820,78544,3504
uplc-turbo,coop-3,192858,187504,178651,299107,23502,100
blaze-jsc,coop-4,2897400,2897400,2457700,3691600,41143,173
blaze-v8,coop-4,2978400,2978400,2520200,3704100,44973,168
haskell,coop-4,484791,484791,483585,485767,4725,0
opshin,coop-4,39740000,39740000,34310000,55760000,6870000,51
plutuz,coop-4,695016,691170,655185,6271041,69313,7195
uplc-turbo,coop-4,213271,208923,192534,325087,20178,100
blaze-jsc,coop-5,1339200,1339200,1135000,1955200,21293,374
blaze-v8,coop-5,1358100,1358100,1172100,1999700,21050,369
haskell,coop-5,203602,203602,202219,205796,7403,0
