vm,script,mean_ns,median_ns,min_ns,max_ns,stddev_ns,iterations
plutigo,auction_1-1,234725,234725,0,0,0,25399
plutigo,auction_1-2,611038,611038,0,0,0,9399
plutigo,auction_1-3,614175,614175,0,0,0,9662
plutigo,auction_1-4,292992,292992,0,0,0,20454
plutigo,auction_2-1,234681,234681,0,0,0,25584
plutigo,auction_2-2,613053,613053,0,0,0,9555
plutigo,auction_2-3,729842,729842,0,0,0,8175
plutigo,auction_2-4,613720,613720,0,0,0,9717
plutigo,auction_2-5,290296,290296,0,0,0,20700
plutigo,coop-1,376518,376518,0,0,0,15948
plutigo,coop-2,1044734,1044734,0,0,0,5576
plutigo,coop-3,1588130,1588130,0,0,0,3680
plutigo,coop-4,1032530,1032530,0,0,0,5799
plutigo,coop-5,617496,617496,0,0,0,9646
plutigo,coop-6,968590,968590,0,0,0,6139
plutigo,coop-7,529196,529196,0,0,0,10000
plutigo,crowdfunding-success-1,278644,278644,0,0,0,21585
plutigo,crowdfunding-success-2,282120,282120,0,0,0,21274
plutigo,crowdfunding-success-3,280605,280605,0,0,0,21313
plutigo,currency-1,264484,264484,0,0,0,22671
plutigo,escrow-redeem_1-1,377517,377517,0,0,0,15888
plutigo,escrow-redeem_1-2,377486,377486,0,0,0,15897
plutigo,escrow-redeem_2-1,432095,432095,0,0,0,13897
plutigo,escrow-redeem_2-2,413700,413700,0,0,0,14475
plutigo,escrow-redeem_2-3,413192,413192,0,0,0,14540
plutigo,escrow-refund-1,248509,248509,0,0,0,23978
plutigo,future-increase-margin-1,261392,261392,0,0,0,22986
plutigo,future-increase-margin-2,506211,506211,0,0,0,10000
plutigo,future-increase-margin-3,510823,510823,0,0,0,10000
plutigo,future-increase-margin-4,582877,582877,0,0,0,9840
plutigo,future-increase-margin-5,779397,779397,0,0,0,7472
plutigo,future-pay-out-1,261303,261303,0,0,0,23050
plutigo,future-pay-out-2,511111,511111,0,0,0,10000
plutigo,future-pay-out-3,512727,512727,0,0,0,10000
plutigo,future-pay-out-4,774019,774019,0,0,0,7647
plutigo,future-settle-early-1,263220,263220,0,0,0,22878
plutigo,future-settle-early-2,519488,519488,0,0,0,10000
plutigo,future-settle-early-3,516800,516800,0,0,0,10000
plutigo,future-settle-early-4,676015,676015,0,0,0,8976
plutigo,game-sm-success_1-1,488828,488828,0,0,0,12135
plutigo,game-sm-success_1-2,246447,246447,0,0,0,24256
plutigo,game-sm-success_1-3,607534,607534,0,0,0,9742
plutigo,game-sm-success_1-4,278585,278585,0,0,0,21516
plutigo,game-sm-success_2-1,497223,497223,0,0,0,12124
plutigo,game-sm-success_2-2,247493,247493,0,0,0,23923
plutigo,game-sm-success_2-3,615920,615920,0,0,0,9133
plutigo,game-sm-success_2-4,279255,279255,0,0,0,21481
plutigo,game-sm-success_2-5,616137,616137,0,0,0,9594
plutigo,game-sm-success_2-6,281634,281634,0,0,0,21168
plutigo,guardrail-sorted-large,832054,832054,0,0,0,7214
plutigo,guardrail-sorted-small,145957,145957,0,0,0,41414
plutigo,guardrail-unsorted-large,1002444,1002444,0,0,0,6078
plutigo,guardrail-unsorted-small,148034,148034,0,0,0,41570
plutigo,multisig-sm-01,492164,492164,0,0,0,12174
plutigo,multisig-sm-02,488424,488424,0,0,0,12285
plutigo,multisig-sm-03,488345,488345,0,0,0,12288
plutigo,multisig-sm-04,496623,496623,0,0,0,12106
plutigo,multisig-sm-05,577454,577454,0,0,0,9873
plutigo,multisig-sm-06,500396,500396,0,0,0,10000
plutigo,multisig-sm-07,491375,491375,0,0,0,12181
plutigo,multisig-sm-08,491613,491613,0,0,0,12229
plutigo,multisig-sm-09,494569,494569,0,0,0,12128
plutigo,multisig-sm-10,636770,636770,0,0,0,10000
plutigo,ping-pong-1,423733,423733,0,0,0,13892
plutigo,ping-pong-2,405590,405590,0,0,0,14835
plutigo,ping-pong_2-1,323589,323589,0,0,0,18566
plutigo,prism-1,209629,209629,0,0,0,28598
plutigo,prism-2,490632,490632,0,0,0,12225
plutigo,prism-3,375078,375078,0,0,0,15955
plutigo,pubkey-1,191244,191244,0,0,0,31238
plutigo,stablecoin_1-1,960313,960313,0,0,0,5964
plutigo,stablecoin_1-2,250972,250972,0,0,0,24061
plutigo,stablecoin_1-3,1082637,1082637,0,0,0,5480
plutigo,stablecoin_1-4,263731,263731,0,0,0,22736
plutigo,stablecoin_1-5,1275510,1275510,0,0,0,4672
plutigo,stablecoin_1-6,313207,313207,0,0,0,19225
plutigo,stablecoin_2-1,955752,955752,0,0,0,6198
plutigo,stablecoin_2-2,251855,251855,0,0,0,23779
plutigo,stablecoin_2-3,1057357,1057357,0,0,0,5554
plutigo,stablecoin_2-4,263179,263179,0,0,0,22712
plutigo,token-account-1,230343,230343,0,0,0,26073
plutigo,token-account-2,336798,336798,0,0,0,17787
plutigo,uniswap-1,348549,348549,0,0,0,17288
plutigo,uniswap-2,269838,269838,0,0,0,22188
plutigo,uniswap-3,1241633,1241633,0,0,0,4764
plutigo,uniswap-4,406945,406945,0,0,0,14745
plutigo,uniswap-5,940077,940077,0,0,0,6342
plutigo,uniswap-6,388705,388705,0,0,0,15408
plutigo,vesting-1,356338,356338,0,0,0,16820
